,,LC 01,LC 02,LC 03,LC 04,LC 05,
,,10206,10218,10269,10289,15058,
,,10354,496157,10412,10672,19585,
Date,Time,°F,°F,°F,°F,°F,
2/25/2025,12:04:52 PM,71.67,71.59,71.61,71.53,---,
2/25/2025,12:05:02 PM,71.60,71.56,71.65,71.53,---,
2/25/2025,12:05:12 PM,71.63,71.72,71.77,71.74,---,
2/25/2025,12:05:22 PM,71.71,71.75,71.87,71.70,---,
2/25/2025,12:05:32 PM,71.47,71.50,71.45,71.52,---,
2/25/2025,12:05:42 PM,71.74,71.91,71.57,72.53,---,
2/25/2025,12:05:52 PM,72.24,72.11,71.87,73.03,---,
2/25/2025,12:06:02 PM,72.28,72.25,71.98,72.69,---,
2/25/2025,12:06:12 PM,72.37,72.43,72.16,72.61,---,
2/25/2025,12:06:22 PM,72.25,72.41,72.13,72.52,---,
2/25/2025,12:06:32 PM,72.27,72.50,72.24,72.50,---,
2/25/2025,12:06:42 PM,72.26,72.46,72.24,72.50,---,
2/25/2025,12:06:52 PM,72.24,72.46,72.18,72.43,---,
2/25/2025,12:07:02 PM,72.19,72.43,72.27,72.50,---,
2/25/2025,12:07:12 PM,72.04,72.32,72.09,72.32,---,
2/25/2025,12:07:22 PM,72.02,72.32,72.22,72.41,72.10,
2/25/2025,12:07:32 PM,71.95,72.23,72.11,72.34,72.19,
2/25/2025,12:07:42 PM,71.95,72.23,72.11,72.39,72.58,
2/25/2025,12:07:52 PM,72.08,72.37,72.24,72.52,72.81,
2/25/2025,12:08:02 PM,72.08,72.34,72.16,72.42,72.70,
2/25/2025,12:08:12 PM,72.31,72.55,72.34,72.53,72.84,
2/25/2025,12:08:22 PM,72.31,72.62,72.44,72.61,72.97,
2/25/2025,12:08:32 PM,72.49,72.73,72.52,72.71,73.07,
2/25/2025,12:08:42 PM,72.60,72.89,72.66,72.79,73.16,
2/25/2025,12:08:52 PM,72.63,72.78,72.66,72.83,73.25,
2/25/2025,12:09:02 PM,41.47,74.45,72.53,72.76,73.23,
2/25/2025,12:09:12 PM,32.70,33.52,72.31,72.61,73.07,
2/25/2025,12:09:22 PM,32.38,32.61,72.16,72.47,72.88,
2/25/2025,12:09:32 PM,32.27,32.40,72.08,72.42,72.84,
2/25/2025,12:09:42 PM,32.18,32.36,72.16,72.50,72.88,
2/25/2025,12:09:52 PM,32.13,32.31,72.22,72.57,72.95,
2/25/2025,12:10:02 PM,32.11,32.26,72.89,72.64,72.93,
2/25/2025,12:10:12 PM,32.10,32.24,72.60,72.84,73.48,
2/25/2025,12:10:22 PM,32.08,32.22,72.41,72.79,73.11,
2/25/2025,12:10:32 PM,32.05,32.22,72.32,72.72,72.88,
2/25/2025,12:10:42 PM,32.04,32.20,72.34,72.72,72.70,
2/25/2025,12:10:52 PM,32.04,32.17,72.48,72.68,72.65,
2/25/2025,12:11:02 PM,32.03,32.17,72.36,72.62,72.58,
2/25/2025,12:11:12 PM,32.02,32.15,72.35,72.54,72.56,
2/25/2025,12:11:22 PM,32.02,32.15,72.22,72.52,72.51,
2/25/2025,12:11:32 PM,32.02,32.15,72.35,72.52,72.45,
2/25/2025,12:11:42 PM,32.01,32.15,72.22,72.50,72.38,
2/25/2025,12:11:52 PM,32.01,32.15,72.29,72.52,72.33,
2/25/2025,12:12:02 PM,32.01,32.13,72.25,72.48,72.33,
2/25/2025,12:12:12 PM,32.00,32.13,72.22,72.41,72.31,
2/25/2025,12:12:22 PM,32.00,32.13,72.21,72.36,76.88,
2/25/2025,12:12:32 PM,32.00,32.13,72.31,72.41,76.58,
2/25/2025,12:12:42 PM,32.00,32.13,72.39,72.42,75.16,
2/25/2025,12:12:52 PM,31.98,32.11,72.25,72.41,74.35,
2/25/2025,12:13:02 PM,32.00,32.11,72.30,72.35,73.85,
2/25/2025,12:13:12 PM,32.00,32.11,72.23,72.41,73.57,
2/25/2025,12:13:22 PM,31.98,32.11,72.13,72.39,73.36,
2/25/2025,12:13:32 PM,31.98,32.11,72.07,72.34,73.13,
2/25/2025,12:13:42 PM,32.00,32.11,72.03,72.35,73.04,
2/25/2025,12:13:52 PM,31.97,32.11,72.06,72.33,72.97,
2/25/2025,12:14:02 PM,31.97,32.11,72.07,72.25,73.02,
2/25/2025,12:14:12 PM,32.00,32.11,72.00,72.23,72.79,
2/25/2025,12:14:22 PM,31.97,32.11,72.01,72.20,72.70,
2/25/2025,12:14:32 PM,31.97,32.11,72.03,72.16,72.72,
2/25/2025,12:14:42 PM,31.98,32.11,72.09,72.14,72.86,
2/25/2025,12:14:52 PM,31.97,32.11,72.04,72.11,72.84,
2/25/2025,12:15:02 PM,31.96,32.11,72.02,72.16,72.77,
2/25/2025,12:15:12 PM,31.96,32.11,72.09,72.17,72.68,
2/25/2025,12:15:22 PM,31.96,32.11,71.95,72.13,72.63,
2/25/2025,12:15:32 PM,31.97,32.11,71.91,72.11,72.56,
2/25/2025,12:15:42 PM,31.97,32.11,71.91,72.06,72.49,
2/25/2025,12:15:52 PM,31.97,32.08,71.88,72.07,72.42,
2/25/2025,12:16:02 PM,31.97,32.08,71.92,72.02,72.40,
2/25/2025,12:16:12 PM,31.96,32.08,71.93,71.97,72.31,
2/25/2025,12:16:22 PM,31.96,32.08,71.86,71.99,72.24,
2/25/2025,12:16:32 PM,31.96,32.08,71.81,72.03,72.22,
2/25/2025,12:16:42 PM,31.96,32.08,71.78,71.99,72.12,
2/25/2025,12:16:52 PM,31.96,32.08,71.80,71.99,72.24,
2/25/2025,12:17:02 PM,31.96,32.08,71.77,71.96,72.19,
2/25/2025,12:17:12 PM,31.96,32.08,71.88,71.95,72.19,
2/25/2025,12:17:22 PM,31.97,32.08,72.00,72.04,72.38,
2/25/2025,12:17:32 PM,31.97,32.08,72.01,72.07,72.45,
2/25/2025,12:17:42 PM,31.95,32.08,71.95,72.06,72.51,
2/25/2025,12:17:52 PM,31.96,32.08,71.88,72.03,72.51,
2/25/2025,12:18:02 PM,31.97,32.08,71.92,71.97,72.49,
2/25/2025,12:18:12 PM,31.97,32.08,71.94,71.95,72.56,
2/25/2025,12:18:22 PM,31.96,32.08,72.01,71.91,72.47,
2/25/2025,12:18:32 PM,31.95,32.08,71.94,71.87,72.42,
2/25/2025,12:18:42 PM,31.96,32.08,71.81,71.85,72.22,
2/25/2025,12:18:52 PM,31.96,32.08,71.86,71.84,72.19,
2/25/2025,12:19:02 PM,32.17,32.17,71.89,71.92,72.28,
2/25/2025,12:19:12 PM,148.80,170.79,72.14,72.02,72.47,
2/25/2025,12:19:22 PM,247.46,246.41,72.24,72.10,72.61,
2/25/2025,12:19:32 PM,249.32,248.73,72.30,72.13,72.70,
2/25/2025,12:19:42 PM,249.86,249.25,72.17,72.14,72.68,
2/25/2025,12:19:52 PM,249.74,249.35,64.83,72.30,72.68,
2/25/2025,12:20:02 PM,249.60,249.30,32.69,39.74,72.63,
2/25/2025,12:20:12 PM,249.91,249.59,32.33,32.62,72.58,
2/25/2025,12:20:22 PM,250.03,249.75,32.16,32.36,72.68,
2/25/2025,12:20:32 PM,249.85,249.66,32.06,32.22,72.70,
2/25/2025,12:20:42 PM,249.92,249.75,32.00,32.16,72.63,
2/25/2025,12:20:52 PM,250.05,249.92,31.92,32.13,72.65,
2/25/2025,12:21:02 PM,249.86,249.80,31.92,32.09,72.61,
2/25/2025,12:21:12 PM,250.02,249.94,31.88,32.08,72.51,
2/25/2025,12:21:22 PM,250.08,250.01,31.86,32.06,72.47,
2/25/2025,12:21:32 PM,249.86,249.85,31.84,32.10,72.54,
2/25/2025,12:21:42 PM,250.03,249.97,31.87,32.08,72.51,
2/25/2025,12:21:52 PM,250.07,250.04,31.86,32.07,72.54,
2/25/2025,12:22:02 PM,249.89,249.85,31.86,32.07,72.54,
2/25/2025,12:22:12 PM,250.09,250.08,31.83,32.06,72.56,
2/25/2025,12:22:22 PM,250.10,250.08,31.85,32.06,72.49,
2/25/2025,12:22:32 PM,249.92,249.94,31.82,32.05,72.26,
2/25/2025,12:22:42 PM,250.03,250.06,31.83,32.03,72.28,
2/25/2025,12:22:52 PM,250.01,250.11,31.79,32.02,72.40,
2/25/2025,12:23:02 PM,249.86,249.94,31.82,32.03,72.45,
2/25/2025,12:23:12 PM,250.05,250.15,31.79,32.02,72.40,
2/25/2025,12:23:22 PM,250.02,250.11,31.80,32.01,72.33,
2/25/2025,12:23:32 PM,249.90,250.01,31.79,32.02,72.08,
2/25/2025,12:23:42 PM,250.10,250.18,31.79,32.01,71.89,
2/25/2025,12:23:52 PM,250.02,250.13,31.79,32.01,71.71,
2/25/2025,12:24:02 PM,249.96,250.04,31.78,32.01,71.53,
2/25/2025,12:24:12 PM,250.14,250.20,31.77,32.01,71.39,
2/25/2025,12:24:22 PM,250.02,250.13,31.79,32.02,71.48,
2/25/2025,12:24:32 PM,249.99,250.08,31.77,32.00,71.37,
2/25/2025,12:24:42 PM,250.17,250.25,31.78,32.01,71.23,
2/25/2025,12:24:52 PM,250.02,250.15,31.76,31.99,71.20,
2/25/2025,12:25:02 PM,250.02,250.08,31.77,32.00,71.27,
2/25/2025,12:25:12 PM,250.19,250.25,31.77,32.00,71.23,
2/25/2025,12:25:22 PM,250.01,250.13,31.78,32.01,71.27,
2/25/2025,12:25:32 PM,250.04,250.08,31.77,32.00,71.32,
2/25/2025,12:25:42 PM,250.15,250.25,31.75,32.00,71.23,
2/25/2025,12:25:52 PM,249.95,250.08,31.76,32.00,71.27,
2/25/2025,12:26:02 PM,250.07,250.18,31.76,31.99,71.34,
2/25/2025,12:26:12 PM,250.08,250.23,31.77,32.00,71.60,
2/25/2025,12:26:22 PM,249.96,250.08,31.76,32.00,71.80,
2/25/2025,12:26:32 PM,250.15,250.30,31.75,31.98,71.96,
2/25/2025,12:26:42 PM,226.30,226.37,31.76,32.00,72.01,
2/25/2025,12:26:52 PM,272.76,272.62,31.75,31.99,71.96,
2/25/2025,12:27:02 PM,274.98,274.97,31.76,32.00,71.94,
2/25/2025,12:27:12 PM,275.17,275.28,38.95,39.71,71.96,
2/25/2025,12:27:22 PM,274.99,275.12,47.91,50.31,72.08,
2/25/2025,12:27:32 PM,274.79,274.93,246.40,244.55,72.17,
2/25/2025,12:27:42 PM,274.74,274.90,248.55,246.61,72.33,
2/25/2025,12:27:52 PM,275.27,275.43,249.29,248.08,33.46,
2/25/2025,12:28:02 PM,275.06,275.24,249.24,248.44,32.69,
2/25/2025,12:28:12 PM,274.82,275.02,249.44,248.54,32.46,
2/25/2025,12:28:22 PM,274.71,274.93,249.75,249.43,32.35,
2/25/2025,12:28:32 PM,275.35,275.55,249.62,249.40,32.32,
2/25/2025,12:28:42 PM,275.18,275.38,249.54,249.26,32.23,
2/25/2025,12:28:52 PM,274.97,275.17,249.87,249.56,32.19,
2/25/2025,12:29:02 PM,274.71,274.95,249.70,249.60,32.16,
2/25/2025,12:29:12 PM,275.00,275.26,249.76,249.62,32.16,
2/25/2025,12:29:22 PM,275.17,275.43,249.91,249.82,32.12,
2/25/2025,12:29:32 PM,274.94,275.21,249.76,249.79,32.14,
2/25/2025,12:29:42 PM,274.76,275.00,249.82,249.68,32.12,
2/25/2025,12:29:52 PM,274.89,275.17,249.96,249.94,32.09,
2/25/2025,12:30:02 PM,275.28,275.52,249.78,249.80,32.09,
2/25/2025,12:30:12 PM,275.05,275.31,249.89,249.85,32.09,
2/25/2025,12:30:22 PM,274.85,275.09,250.00,250.03,32.07,
2/25/2025,12:30:32 PM,274.70,274.95,249.73,249.92,32.09,
2/25/2025,12:30:42 PM,275.30,275.52,249.84,249.81,32.07,
2/25/2025,12:30:52 PM,275.12,275.36,249.95,250.04,32.05,
2/25/2025,12:31:02 PM,274.91,275.17,249.78,249.91,32.05,
2/25/2025,12:31:12 PM,274.69,274.95,249.88,249.91,32.05,
2/25/2025,12:31:22 PM,275.17,275.45,249.96,250.08,32.05,
2/25/2025,12:31:32 PM,275.21,275.47,249.78,249.93,32.05,
2/25/2025,12:31:42 PM,275.00,275.26,249.93,249.99,32.03,
2/25/2025,12:31:52 PM,274.79,275.05,249.95,250.10,32.03,
2/25/2025,12:32:02 PM,274.83,275.09,249.81,249.93,32.03,
2/25/2025,12:32:12 PM,275.30,275.55,249.99,250.10,32.03,
2/25/2025,12:32:22 PM,275.09,275.33,249.97,250.12,32.03,
2/25/2025,12:32:32 PM,274.87,275.12,249.79,249.93,32.03,
2/25/2025,12:32:42 PM,274.68,274.95,250.00,250.11,32.03,
2/25/2025,12:32:52 PM,275.29,275.50,249.94,250.15,32.03,
2/25/2025,12:33:02 PM,275.16,275.40,249.79,250.00,32.03,
2/25/2025,12:33:12 PM,274.93,275.19,250.01,250.20,32.00,
2/25/2025,12:33:22 PM,274.74,274.97,249.95,250.11,32.00,
2/25/2025,12:33:32 PM,275.15,275.38,249.83,249.97,32.00,
2/25/2025,12:33:42 PM,275.23,275.47,250.03,250.15,32.00,
2/25/2025,12:33:52 PM,275.01,275.26,249.95,250.12,32.03,
2/25/2025,12:34:02 PM,274.81,275.05,249.82,249.99,32.00,
2/25/2025,12:34:12 PM,274.83,275.14,250.03,250.15,32.00,
2/25/2025,12:34:22 PM,275.30,275.55,249.96,250.16,32.00,
2/25/2025,12:34:32 PM,254.31,252.36,249.84,250.03,32.00,
2/25/2025,12:34:42 PM,74.85,76.28,250.02,250.16,32.00,
2/25/2025,12:34:52 PM,74.85,75.41,240.33,240.57,32.00,
2/25/2025,12:35:02 PM,74.27,75.14,273.81,273.76,32.00,
2/25/2025,12:35:12 PM,73.62,74.29,274.74,274.79,35.01,
2/25/2025,12:35:22 PM,73.49,74.34,274.56,274.67,239.30,
2/25/2025,12:35:32 PM,73.44,74.27,275.08,275.24,247.26,
2/25/2025,12:35:42 PM,73.43,74.24,275.09,275.20,248.71,
2/25/2025,12:35:52 PM,73.69,74.18,274.83,275.02,249.02,
2/25/2025,12:36:02 PM,73.77,74.18,274.62,274.83,249.06,
2/25/2025,12:36:12 PM,73.76,74.15,274.99,275.21,249.28,
2/25/2025,12:36:22 PM,73.77,74.13,275.14,275.28,249.54,
2/25/2025,12:36:32 PM,74.56,76.61,274.92,275.08,249.47,
2/25/2025,12:36:42 PM,74.29,81.29,274.72,274.87,249.42,
2/25/2025,12:36:52 PM,77.84,79.82,274.81,274.98,249.54,
2/25/2025,12:37:02 PM,---,---,275.21,275.34,249.49,
2/25/2025,12:37:12 PM,---,---,274.98,275.15,249.47,
2/25/2025,12:37:22 PM,---,---,274.77,274.94,249.61,
2/25/2025,12:37:32 PM,---,---,274.74,274.86,249.59,
2/25/2025,12:37:42 PM,---,---,275.32,275.47,249.49,
2/25/2025,12:37:52 PM,---,---,275.12,275.26,249.71,
2/25/2025,12:38:02 PM,---,---,274.90,275.08,249.71,
2/25/2025,12:38:12 PM,---,---,274.69,274.88,249.59,
2/25/2025,12:38:22 PM,---,---,274.98,275.18,249.83,
2/25/2025,12:38:32 PM,---,---,275.24,275.40,249.78,
2/25/2025,12:38:42 PM,---,---,275.01,275.18,249.64,
2/25/2025,12:38:52 PM,---,---,274.81,274.97,249.87,
2/25/2025,12:39:02 PM,---,---,274.70,274.96,249.83,
2/25/2025,12:39:12 PM,---,---,275.27,275.45,249.71,
2/25/2025,12:39:22 PM,---,---,275.09,275.28,249.87,
2/25/2025,12:39:32 PM,---,---,274.89,275.06,249.90,
2/25/2025,12:39:42 PM,---,---,274.68,274.86,249.78,
2/25/2025,12:39:52 PM,---,---,275.13,275.28,249.97,
2/25/2025,12:40:02 PM,---,---,275.18,275.37,249.92,
2/25/2025,12:40:12 PM,---,---,274.96,275.12,249.78,
2/25/2025,12:40:22 PM,---,---,274.75,274.92,249.97,
2/25/2025,12:40:32 PM,---,---,274.93,275.16,249.94,
2/25/2025,12:40:42 PM,---,---,275.25,275.43,249.80,
2/25/2025,12:40:52 PM,---,---,275.04,275.23,249.99,
2/25/2025,12:41:02 PM,---,---,274.83,275.02,249.97,
2/25/2025,12:41:12 PM,---,---,274.69,274.86,249.85,
2/25/2025,12:41:22 PM,---,---,82.33,83.38,250.02,
2/25/2025,12:41:32 PM,---,---,75.27,75.18,264.74,
2/25/2025,12:41:42 PM,---,---,74.68,74.73,274.44,
2/25/2025,12:41:52 PM,---,---,74.27,74.34,274.41,
2/25/2025,12:42:02 PM,---,---,74.21,74.50,274.87,
2/25/2025,12:42:12 PM,---,---,74.44,74.65,275.08,
2/25/2025,12:42:22 PM,---,---,76.63,76.77,274.92,
2/25/2025,12:42:32 PM,---,---,79.42,81.98,274.75,
2/25/2025,12:42:42 PM,---,---,82.84,84.33,274.68,
2/25/2025,12:42:52 PM,---,---,---,---,275.30,
2/25/2025,12:43:02 PM,---,---,---,---,275.18,
2/25/2025,12:43:12 PM,---,---,---,---,274.99,
2/25/2025,12:43:22 PM,---,---,---,---,274.80,
2/25/2025,12:43:32 PM,---,---,---,---,274.80,
2/25/2025,12:43:42 PM,---,---,---,---,275.30,
2/25/2025,12:43:52 PM,---,---,---,---,275.11,
2/25/2025,12:44:02 PM,---,---,---,---,274.92,
2/25/2025,12:44:12 PM,---,---,---,---,274.72,
2/25/2025,12:44:22 PM,---,---,---,---,275.04,
2/25/2025,12:44:32 PM,---,---,---,---,275.23,
2/25/2025,12:44:42 PM,---,---,---,---,275.04,
2/25/2025,12:44:52 PM,---,---,---,---,274.84,
2/25/2025,12:45:02 PM,---,---,---,---,274.75,
2/25/2025,12:45:12 PM,---,---,---,---,275.32,
2/25/2025,12:45:22 PM,---,---,---,---,275.18,
2/25/2025,12:45:32 PM,---,---,---,---,274.99,
2/25/2025,12:45:42 PM,---,---,---,---,274.80,
2/25/2025,12:45:52 PM,---,---,---,---,274.99,
2/25/2025,12:46:02 PM,---,---,---,---,275.30,
2/25/2025,12:46:12 PM,---,---,---,---,275.11,
2/25/2025,12:46:22 PM,---,---,---,---,274.92,
2/25/2025,12:46:32 PM,---,---,---,---,274.77,
2/25/2025,12:46:42 PM,---,---,---,---,275.30,
2/25/2025,12:46:52 PM,---,---,---,---,275.18,
2/25/2025,12:47:02 PM,---,---,---,---,274.99,
2/25/2025,12:47:12 PM,---,---,---,---,274.80,
2/25/2025,12:47:22 PM,---,---,---,---,275.20,
2/25/2025,12:47:32 PM,---,---,---,---,275.27,
2/25/2025,12:47:42 PM,---,---,---,---,275.08,
2/25/2025,12:47:52 PM,---,---,---,---,274.87,
2/25/2025,12:48:02 PM,---,---,---,---,274.94,
2/25/2025,12:48:12 PM,---,---,---,---,275.39,
2/25/2025,12:48:22 PM,---,---,---,---,275.20,
2/25/2025,12:48:32 PM,---,---,---,---,272.91,
2/25/2025,12:48:42 PM,---,---,---,---,233.60,
2/25/2025,12:48:52 PM,---,---,---,---,213.01,
2/25/2025,12:49:02 PM,---,---,---,---,194.25,
2/25/2025,12:49:12 PM,---,---,---,---,77.25,
2/25/2025,12:49:22 PM,---,---,---,---,76.33,
2/25/2025,12:49:32 PM,---,---,---,---,75.92,
2/25/2025,12:49:42 PM,---,---,---,---,75.69,
2/25/2025,12:49:52 PM,---,---,---,---,75.53,
2/25/2025,12:50:02 PM,---,---,---,---,75.11,
2/25/2025,12:50:12 PM,---,---,---,---,74.93,
2/25/2025,12:50:22 PM,---,---,---,---,80.33,
2/25/2025,12:50:32 PM,---,---,---,---,80.36,
